I'd like to send an email,action-email-create
Send new email,action-email-create
Draft new email,action-email-create
Compose new email,action-email-create
Send email,action-email-create
Draft email,action-email-create
Compose email,action-email-create
Send e-mail,action-email-create
Draft e-mail,action-email-create
Compose e-mail,action-email-create
New email,action-email-create
New e-mail,action-email-create
Email,action-email-create
Email *,action-email-create
Email compose,action-email-create
Email new,action-email-create
Compose letter,action-email-create
Take a memo to recipient *,action-email-create
Email draft,action-email-create
Draft email to *,action-email-create
Compose email to *,action-email-create
New email messsage,action-email-create
New email message to *,action-email-create
New message for *,action-email-create
New meeting now,action-meeting-create
Make a meeting,action-meeting-create
Add meeting to schedule,action-meeting-create
Add meeting to calendar,action-meeting-create
Help me add a meeting to calendar,action-meeting-create
Help me add meeting to schedule,action-meeting-create
Schedule meeting for next *,action-meeting-create
Schedule call for next *,action-meeting-create
Schedule call for tomorrow,action-meeting-create
Schedule call for Monday,action-meeting-create
Schedule call for Tuesday,action-meeting-create
I'd like to create a new meeting,action-meeting-create
I'd like to schedule a meeting,action-meeting-create
Schedule new meeting,action-meeting-create
Can I schedule a meeting?,action-meeting-create
Schedule a new call,action-meeting-create
I'd like to schedule a call,action-meeting-create
Please schedule a call for *,action-meeting-create
Schedule call,action-meeting-create
Schedule meeting,action-meeting-create
"Meeting, schedule",action-meeting-create
"Call, schedule",action-meeting-create
New meeting,action-meeting-create
Set up meeting with *,action-meeting-create
Schedule,action-meeting-create
Meeting,action-meeting-create
Schedule new meeting,action-meeting-create
Create a new meeting for next *,action-meeting-create
Update schedule with meeting,action-meeting-create
Update schedule to add call,action-meeting-create
Create new time slot,action-meeting-create
Add to calendar,action-meeting-create
Schedule call for Wednesday,action-meeting-create
Schedule call for Thursday,action-meeting-create
Schedule call for Friday,action-meeting-create
Schedule call for Saturday,action-meeting-create
Schedule call for Sunday,action-meeting-create
Reschedule call ,action-meeting-create
Reschedule meeting,action-meeting-create
Update call time in calendar,action-meeting-create
Update meeting time in calendar,action-meeting-create
Running late for my meeting,action-meeting-notify-attendees
"Please call current meeting, running late",action-meeting-notify-attendees
Email current meeting that I'm running late,action-meeting-notify-attendees
Late for meeting. Notify team,action-meeting-notify-attendees
Ping team I'm running * minutes late,action-meeting-notify-attendees
Notify team I'm running late,action-meeting-notify-attendees
Notify team I'm running * mintues late,action-meeting-notify-attendees
Tell team on current call I'll join in * minutes,action-meeting-notify-attendees
Joining current call in * minutes,action-meeting-notify-attendees
Late for my meeting.  Ping team.,action-meeting-notify-attendees
Running late,action-meeting-notify-attendees
"late for meeting, notify",action-meeting-notify-attendees
tell meeting participants I'm running late,action-meeting-notify-attendees
Running a few minutes late,action-meeting-notify-attendees
I'll be a few minutes late for call,action-meeting-notify-attendees
I'll be * minutes late for call,action-meeting-notify-attendees
Team notify that I'm delayed,action-meeting-notify-attendees
Joining team in * minutes,action-meeting-notify-attendees
Add item to task list,action-task-create
Add item to to-do list,action-task-create
New action item,action-task-create
New action item for list,action-task-create
Action item ,action-task-create
New task,action-task-create
update task,action-task-create
add task,action-task-create
to do *,action-task-create
create new task,action-task-create
add new task,action-task-create
update task list,action-task-create
task list update,action-task-create
task list - new item,action-task-create
new item for task list,action-task-create
Reminder,action-task-create
Reminder for task list,action-task-create
add reminder for task list to *,action-task-create
reminder to * add to task list,action-task-create
personal assistant - add to task list,action-task-create
take a note,action-task-create
knock knock,respond-off-topic-joke-or-riddle
Say something funny,respond-off-topic-joke-or-riddle
Tell me a joke,respond-off-topic-joke-or-riddle
cat rat sat bat mat,respond-off-topic-joke-or-riddle
roses are red violets are blue,respond-off-topic-joke-or-riddle
Tell me a haiku,respond-off-topic-joke-or-riddle
chicken or the egg?,respond-off-topic-joke-or-riddle
Tell me a riddle,respond-off-topic-joke-or-riddle
Tell me a story,respond-off-topic-joke-or-riddle
1 plus 1,respond-off-topic-math
1+1,respond-off-topic-math
1+1=?,respond-off-topic-math
10 plus 10,respond-off-topic-math
10 + 10 =,respond-off-topic-math
10+10=?,respond-off-topic-math
100 minus 10,respond-off-topic-math
5 plus five,respond-off-topic-math
a million plus a billion?,respond-off-topic-math
infinity,respond-off-topic-math
infinity / infinity,respond-off-topic-math
infinity divided by zero,respond-off-topic-math
infinity/infinity,respond-off-topic-math
What is * divided by zero?,respond-off-topic-math
What is 1/0?,respond-off-topic-math
What is 1+1?,respond-off-topic-math
What is 2+2,respond-off-topic-math
what is nine plus fourteen?,respond-off-topic-math
'agk4'3k'p0f23k,respond-off-topic-nonsense-input
@#$@%#fwweWf wef W#Rjlwf34;,respond-off-topic-nonsense-input
292-494f4,respond-off-topic-nonsense-input
ajfskdw49urwe0w3ufiwel,respond-off-topic-nonsense-input
asd f efwefjkw jkl,respond-off-topic-nonsense-input
aslkdjal,respond-off-topic-nonsense-input
jklfadsk23450923u u9q3uf203 9u,respond-off-topic-nonsense-input
sadjka; jakls;djfakls; dfjasd ;flk,respond-off-topic-nonsense-input
blah blah blah,respond-off-topic-nonsense-input
Is god real?,respond-off-topic-philosophy
What is the meaning of life?,respond-off-topic-philosophy
why do we die?,respond-off-topic-philosophy
why do we live?,respond-off-topic-philosophy
what is * in light years?,respond-off-topic-science
I'm tired,respond-off-topic-user-focus
I'm drunk,respond-off-topic-user-focus
I'm naked,respond-off-topic-user-focus
Talk dirty to me,respond-off-topic-user-focus
I love you,respond-off-topic-user-focus
Ask me a question,respond-off-topic-user-focus
i had a terrible day!,respond-off-topic-user-focus
I'm sad,respond-off-topic-user-focus
my computer broke!,respond-off-topic-user-focus
Do you have eyes?,respond-off-topic-watson-focus
where is your hardware?,respond-off-topic-watson-focus
are you happy?,respond-off-topic-watson-focus
Do you follow the three laws of robotics?,respond-off-topic-watson-focus
Do you have feelings?,respond-off-topic-watson-focus
How old are you,respond-off-topic-watson-focus
What is your favorite color?,respond-off-topic-watson-focus
What's your favourite animal?,respond-off-topic-watson-focus
